PMID,CitedBy
28343694,"['35803464', '31727313', '31248759']"
28343695,"['39128910', '38332689', '35342305', '35203642', '34950025', '34031369', '33806041', '31977960', '31747882', '30134786']"
28343697,"['39467981', '39242719', '38774778', '38773022', '38527752', '38168089', '38128286', '37963085', '37736528', '37672521', '37660045', '36869259', '36775050', '36717265', '36598977', '36385908', '36375584', '36202831', '35566411', '34860673', '34849626', '34811410', '34761081', '34400783', '34268450', '34151477', '33950220', '33581801', '33564034', '33561125', '33350387', '33054384', '32978451', '32826918', '32797941', '31831095', '31653478', '31600187', '31324936', '31209369', '31139115', '31134293', '30926783', '30618935', '30596638', '30167466', '30071076', '29400358', '29313489', '29105895', '28910125', '28680667']"
28343701,"['38959314', '38948803', '38748805', '38746232', '38543734', '38476284', '38166244', '37958742', '37515076', '37376214', '37344894', '36537575', '36258023', '36177449', '36034324', '36028220', '35986268', '35769884', '35512145', '35439286', '35222350', '35148814', '35098572', '34832213', '34485684', '34405037', '34335131', '34058283', '33986194', '33884386', '33801614', '33514054', '33360074', '33178222', '33086102', '33015961', '32927471', '32707906', '32582667', '32218774', '32203790', '32143059', '32033104', '32005538', '31904601', '31776498', '31728404', '31456998', '31427447', '31183393', '30669439', '30619296', '30601470', '30538700', '30524426', '30425486', '30337923', '30276444', '30084296', '30068557', '29670610', '29601932', '29468812', '29434200', '29416539', '29416532', '29312305', '29255814', '29241006', '29130395', '29124321', '28989540']"
28343720,"['37509801', '37316622', '37238754', '36259101', '32784929', '30521755', '29504531']"
28343731,"['38968513', '36834865', '36214762', '35769458', '35563348', '34992605', '34745129', '34445292']"
28343748,"['38858604', '38773133', '38744839', '38402045', '38316770', '37638026', '36380692', '36370126', '36298626', '36281956', '35937550', '35403441', '35181574', '34998422', '34687019', '34650569', '34630404', '34302692', '33119547', '32963490', '32760405', '32201227', '31772505', '31748230', '31733607', '30850611', '30662440', '30450101', '30051260', '29703863', '29675436', '28736271', '28664171', '28636654']"
28343759,"['39487028', '39433755', '36727571', '30865173', '29432228']"
28343761,"['39494076', '39336563', '36035963', '35861748', '35199967', '34523741', '34521364', '32993440', '32527992', '32332663', '31566101', '31543201', '28291625']"
28343772,"['39312238', '35724340', '34187781', '33956557', '33836695', '32275268', '32078437', '31575494', '31331777', '31292120', '31009301', '30380986', '28867508', '28465095']"
28343781,"['36359882', '36002507', '35625879', '35493458', '34956229', '34863353', '34462731', '34452042', '32849581', '32823563', '31611875', '30944257', '30679470', '30282750', '29563912', '29312305', '28630108']"
28343791,"['39367145', '37200193', '35757434', '33393733', '32637065', '32558149', '32423340', '32201216', '31693697', '30601759', '29867762', '29396841']"
28343808,"['30863912', '30069651']"
28343809,"['37608212', '37347015', '36254269', '36138208', '35321208', '34708137', '34631903', '34527735', '34173071', '33025317', '31807603', '31542816', '29869200', '29574546']"
28343820,"['39422648', '39338582', '38941190', '38839628', '38712094', '38711955', '38530677', '38283365', '38181095', '38073867', '37873143', '37867188', '37837939', '37778472', '37772259', '37169132', '36939800', '36921575', '36901778', '36842431', '36835932', '36835363', '36619667', '36606709', '36542462', '36439142', '36361857', '36292745', '36233254', '36189219', '36139988', '36116091', '36042296', '35968974', '35936977', '35858957', '35849580', '35834335', '35777498', '35724951', '35663027', '35649365', '35647199', '35626725', '35572535', '35550671', '35361906', '35359918', '35281103', '35172715', '35096274', '35017212', '34743922', '34631704', '34544813', '34527167', '34490267', '34409324', '34276696', '34171319', '34132739', '34030971', '33993202', '33800045', '33798492', '33772242', '33652789', '33619370', '33468585', '33329542', '33294857', '33240882', '33025661', '32791112', '32508987', '32494759', '32463116', '32457482', '32433595', '32411394', '32226343', '32093265', '31948873', '31874430', '31784259', '31777069', '31709535', '31577594', '31366611', '31171863', '30992525', '30977195', '30977191', '30893588', '30893586', '30721971', '30712873', '30550810', '30531969', '30520726', '30476499', '30322864', '30217811', '30197899', '29969603', '29887862', '29753031', '29662491', '29526487', '29500225', '29378633', '29364286', '28892827', '28699278']"
28343818,"['39205264', '36650537', '35677763', '35369428', '34724004', '34578335', '34105630', '34008723', '33305921', '32999083', '32899621', '32453768', '32401960', '32049201', '31618373', '31597749', '30232131', '29236927']"
28343835,"['39479710', '39375265', '39351369', '39349529', '39220056', '39150028', '38978586', '38929814', '38888723', '38753424', '38601756', '38481702', '38473322', '38473224', '38464704', '38437207', '38397632', '38286995', '38275541', '38255306', '38250812', '37835520', '37716353', '37568683', '37550686', '37533758', '37517458', '37509060', '37388583', '37377687', '37376080', '37228870', '37200865', '37168566', '37091844', '36992105', '36982129', '36979610', '36959534', '36927267', '36836147', '36793525', '36691118', '36685193', '36676953', '36656844', '36623855', '36597150', '36579999', '36426593', '36370774', '36280246', '36227532', '36210923', '36147657', '36038710', '35910346', '35790880', '35719678', '35565917', '35434134', '35347574', '35345345', '35304835', '35215289', '35155437', '34831081', '34792474', '34703824', '34638387', '34421612', '34405474', '34192364', '33922356', '33877555', '33594785', '33488087', '33469366', '33391444', '33347867', '33321708', '33083295', '33052154', '32792930', '32756521', '32601624', '32118151', '32002368', '31450853', '31286939', '31284393', '30287433', '29325817', '29164046']"
28343854,"['38188231', '31135821', '30885520', '28930064']"
28343865,"['39519345', '38755145', '38412259', '38311779', '38129650', '37627588', '37626421', '37526230', '37461319', '36982587', '36940239', '35813061', '35765969', '35563872', '35406787', '35084690', '35053321', '35013029', '34965938', '34953315', '34884222', '34632710', '34542927', '34517941', '34490845', '34378174', '34160773', '34140671', '34113230', '34085114', '33856033', '33785066', '33549703', '33431896', '33261024', '33172304', '33129345', '32951567', '32093161', '32040349', '31913484', '31721251', '31683805', '31605140', '31519807', '31229686', '30998900', '30918326', '30909783', '30344044', '30274788', '30213863', '30206144', '30131520', '30084953', '30050143', '29891563', '29677349', '29650702', '29453961', '29411683', '29411505', '29325606', '29323119', '29142303', '29125873', '29096076', '28982758', '28910618', '28851463', '28686858']"
28343867,"['39393938', '39091781', '39071886', '38985682', '38915504', '38659809', '38389787', '38363198', '38303974', '37873152', '37719050', '37503011', '37410093', '37248771', '36861201', '36747825', '36323779', '35760526', '35368306', '35148310', '35016256', '34916282', '34697385', '34619088', '34608335', '34496249', '34453151', '34363753', '34230644', '34210776', '34162691', '33897395', '33859438', '33734733', '33606361', '33510164', '33265660', '33007779', '32917862', '32779570', '32763145', '32277786', '32187527', '32149601', '32128423', '32101492', '32039761', '31831749', '31824650', '31373556', '31333432', '31251890', '31130396', '31121601', '31056352', '31048835', '31023509', '30923222', '30730888', '30728236', '30705621', '30379631', '30349104', '30279469', '30270041', '30222110', '30215597', '30209250', '30175425', '30055067', '30034250', '29976622', '29909996', '29643800', '29562172', '29522977', '29516634', '29465399', '29442559', '29431646', '29397273', '29386260', '29386117', '29354038', '29335607', '29333481', '29073649', '29073641', '28968386', '28965758']"
